name,url,id,rating_score,review_count,address
Dragon Hotel & Apartments Đà Nẵng (Dragon Hotel & Apartments Đa Nang),"https://www.agoda.com/vi-vn/dragon-hotel-apartment_2/hotel/all/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=17,4&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d",30913886,7.2,127.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 0,8 km"
Khách sạn Elite Luxury by Elite24 (Elite Luxury Hotel by Elite24),https://www.agoda.com/vi-vn/elite-luxury-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,75242528,8.4,400.0,"Hải Châu, Đà Nẵng - Nội thành"
Khách sạn Phú An (Phú An Hotel),https://www.agoda.com/vi-vn/phu-an-hotel-h45907766/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=6&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,46886714,8.6,624.0,"Hải Châu, Đà Nẵng - cách trung tâm 0,3 km"
Khách sạn Diamond Beach (Diamond Beach Hotel),https://www.agoda.com/vi-vn/quach-tinh-hotel_3/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,64718763,7.4,368.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,5 km"
Khách sạn Quang Minh Riverside Đà Nẵng (Quang Minh Riverside Hotel Danang),https://www.agoda.com/vi-vn/quang-minh-hotel-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=1&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,45448245,9.2,599.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 0,5 km"
Khách sạn Waikiki Beach Đà Nẵng (Waikiki Beach Hotel Da Nang),https://www.agoda.com/vi-vn/khach-san-grand-sunrise-h27076423/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=9&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,569876,8.3,462.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km"
Khách sạn & Spa The Code Đà Nẵng (The Code Hotel & Spa Da Nang),https://www.agoda.com/vi-vn/the-code-hotel-spa/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,6715436,8.6,577.0,"Thọ Quang, Đà Nẵng - cách trung tâm 3,3 km"
Khách Sạn Brilliant Majestic - Đà Nẵng (Brilliant Majestic Hotel - Da Nang),https://www.agoda.com/vi-vn/brilliant-majestic-villa-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,2191465,8.7,900.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,7 km"
Khách sạn Dattravi (Dattravi Hostel),https://www.agoda.com/vi-vn/travidat-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,444312,7.1,242.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km"
Khách sạn và Spa Santori (Santori Hotel and Spa),https://www.agoda.com/vi-vn/santori-hotel-and-spa/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=9&los=6&searchrequestid=777f8a4c-9e05-4e53-9d11-3c5e9b74e71d,29858225,8.6,332.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,2 km"
