aspect_label_column,label,before_count,after_count,before_ratio,after_ratio,ratio_delta
vệ sinh_label,0,23920,13244,0.6798738026887986,0.765770453888407,0.08589665119960843
vệ sinh_label,1,7765,3495,0.22070318051331608,0.202081526452732,-0.01862165406058408
vệ sinh_label,2,3498,556,0.09942301679788534,0.032148019658860945,-0.0672749971390244
đồ ăn thức uống_label,0,27918,14536,0.7935082284057642,0.840474125469789,0.046965897064024764
đồ ăn thức uống_label,1,4792,2132,0.136202143080465,0.12327262214512864,-0.01292952093533635
đồ ăn thức uống_label,2,2473,627,0.07028962851377085,0.036253252385082396,-0.034036376128688456
khách sạn_label,0,9022,3612,0.2564306625358838,0.20884648742411102,-0.04758417511177279
khách sạn_label,1,21776,12560,0.6189352812437825,0.726221451286499,0.10728617004271646
khách sạn_label,2,4385,1123,0.12463405622033369,0.06493206128939,-0.05970199493094369
vị trí_label,0,22845,11602,0.6493192735127761,0.6708297195721307,0.021510446059354593
vị trí_label,1,11586,5437,0.32930676747292725,0.3143683145417751,-0.014938452931152146
vị trí_label,2,752,256,0.021373959014296676,0.014801965886094247,-0.0065719931282024295
phòng ốc_label,0,18198,10981,0.5172384390188444,0.6349233882625036,0.11768494924365924
phòng ốc_label,1,10096,4581,0.2869567688940682,0.26487424111014746,-0.022082527783920725
phòng ốc_label,2,6889,1733,0.1958047920870875,0.10020237062734895,-0.09560242145973856
dịch vụ_label,0,19520,9837,0.5548134042008924,0.56877710320902,0.01396369900812755
dịch vụ_label,1,13526,7129,0.3844470340789586,0.41220005782017927,0.027753023741220684
dịch vụ_label,2,2137,329,0.06073956172014894,0.019022838970800808,-0.04171672274934813
